wallet_id,tx_count,deposit_count,borrow_count,repay_count,withdraw_count,liquidated_count,liquidator_count,is_liquidator,account_age_days,tx_frequency,total_deposit_usd,total_borrow_usd,total_repay_usd,total_withdraw_usd,total_liquidated_usd,repay_ratio,liquidation_ratio,unique_assets,borrow_deposit_ratio,withdraw_deposit_ratio,avg_time_between_txs,std_time_between_txs,first_tx_time,last_tx_time,time_consistency,amount_volatility,repay_to_borrow_ratio,days_since_last_tx,asset_DAI_count,asset_ETH_count,asset_USDC_count,asset_BAT_count,asset_ZRX_count,asset_WBTC_count,deposits_pct,borrows_pct,repays_pct,withdraws_pct,liquidations_pct,asset_REP_count,anomaly_score,anomaly_probability,potential_bot,high_borrow_risk,high_withdraw_risk,credit_score
0x007a65795aea058d7b7e8d33c6e954f8bac533cb,3,1,1,0,1,0,0,False,71.04038194444445,0.04222950268406613,51371.54934467554,30986.29127042177,0.0,52304.05127318742,0.0,0.0,0.0,2,0.6031682613709595,1.018132289333397,852.4845833333334,409.7748615097652,1563183671,1569321560,0.4801198164697548,0.26839177587008617,0.0,2049.9355919553946,2.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,1,0.3920098733262005,False,False,False,55
0x00809b9263aab2856bf65be3d3bc3fcb9e19c1fb,139,32,76,14,17,0,0,False,292.57690972222224,0.4750887557462039,89856.64017445075,55151.832304,47040.40489799999,91101.47985109373,0.0,0.8529255136748791,0.0,2,0.613768981657292,1.0138423363247484,50.882940821256035,122.17558340538878,1559094800,1584373445,2.3548315009031717,1.6057837302746183,0.18421052631578946,1875.7239600344333,0.0,30.0,109.0,0.0,0.0,0.0,0.2302158273381295,0.5467625899280576,0.10071942446043165,0.1223021582733813,0.0,0.0,-1,0.5728070887964483,False,False,False,42
0x0085cc4d9ce979174819da928d0b07979c9a9846,9,0,3,3,3,0,0,False,10.790925925925926,0.8340340821334797,0.0,18.420724898542485,18.272971818166525,28.58391798252469,0.0,0.9919789757900542,0.0,3,18.420724898542485,28.58391798252469,32.37277777777778,58.98497457391169,1570451983,1571384319,1.7674577455517813,0.5980840052768609,1.0,2026.0610665387494,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,3.0,1,0.3388586574595332,False,True,True,78
0x009b56330ae5ec5042b9ca46ddb3043cc0d006f3,20,3,4,10,3,0,0,False,191.37655092592593,0.10450601133333826,45538.39901147351,45884.29008764916,41440.50003886096,43796.89951941303,0.0,0.9031522545014955,0.0,6,1.0075734656948099,0.9617364407549283,241.73880116959063,250.45641235219367,1558643818,1575178752,1.0317938918105272,1.1747360540435445,2.5,1982.1440179500592,7.0,2.0,2.0,1.0,2.0,0.0,0.15,0.2,0.5,0.15,0.0,6.0,1,0.3850853172019637,False,False,False,94
0x009b6817807c332b9445f5c9cf2ac94631fe876e,51,1,16,34,0,0,0,False,240.12101851851853,0.21239290219013793,2.2407842618340146,42425.14483972,37441.83182055535,0.0,0.0,0.8825386916652531,0.0,4,13091.011746555105,0.0,115.25808888888889,437.6785563264124,1563496220,1584242676,3.7647148728267332,1.5745556864655381,2.125,1877.2374901955548,21.0,5.0,23.0,0.0,0.0,2.0,0.0196078431372549,0.3137254901960784,0.6666666666666666,0.0,0.0,0.0,1,0.4234349292407778,False,True,False,84
0x009c07cc41a358176c97b525284d50f4960bc939,9,6,0,0,3,0,0,False,109.70552083333334,0.08203780385558687,5358.59766228546,0.0,0.0,2576.3405950123097,0.0,0.0,0.0,2,0.0,0.4806966413060373,329.1165625,620.5520114735684,1558814612,1568293169,1.8797966596225189,0.5756494569425038,0.0,2061.838265680254,7.0,0.0,2.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,1,0.3231646323225475,False,False,False,58
0x00a050ae48f4f5463321a9eb2aa2dc2314076ca8,7,4,0,0,3,0,0,False,40.976157407407406,0.17083105012512922,48.119155963259374,0.0,0.0,38.228761025430444,0.0,0.0,0.0,3,0.0,0.7782861955939383,163.90462962962962,163.1100373278373,1562269096,1565809436,0.9891173928480788,0.41556663639143127,0.0,2090.585175424665,1.0,0.0,4.0,0.0,0.0,2.0,0.5714285714285714,0.0,0.0,0.42857142857142855,0.0,0.0,1,0.3190982510981597,False,False,False,60
0x00a22ebafb4e5f9e43b5e8c8db245856d2be2b98,3,2,0,0,1,0,0,False,0.7744675925925926,3.873628837014676,497.81705811208485,0.0,0.0,303.803915,0.0,0.0,0.0,2,0.0,0.609048768600321,9.293611111111112,12.42386614544764,1564566656,1564633570,1.2069492436951588,0.23613250164829397,0.0,2104.1947356306487,1.0,0.0,2.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,1,0.32454122562579607,False,False,False,49
0x00ace6f9c2d01981b709e6b24334bbefe83ace9c,3,2,0,0,1,0,0,False,20.362719907407406,0.14732805900397822,127.84859331959719,0.0,0.0,20.0556961903338,0.0,0.0,0.0,1,0.0,0.1556532025195454,244.3526388888889,157.0835750220412,1563574810,1565334149,0.6402359303466817,1.0034948136535087,0.0,2096.0861824123726,3.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,1,0.31965997239862237,False,False,False,49
0x00af09973052d749f6a95071da1dcbe2c557cc15,4,0,2,2,0,0,0,False,3.1856944444444446,1.2556132013776866,0.0,12200.0,12206.57206,0.0,0.0,1.000538693442623,0.0,1,12200.0,0.0,25.485555555555557,24.79391904956576,1582448317,1582723561,0.936129846231035,0.9684939435678495,1.0,1894.8198398410998,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1,0.349324242007399,False,True,False,70
